checked_at,copyright,crop_count,date_submitted,file_description,file_name,image_type,imslp_id,publisher_information,reason,resolved_work_title,scanner,source_url,status,uploader,work_title,work_url
2026-08-31T10:37:12Z,Public Domain,14,2011/2/27,Complete Score,PMLP194372-Chaminade_-_083_-_Ritournelle_!.pdf,,IMSLP154223,{{P|Enoch||Paris||1896||E. & C. 2795}},not an original Normal Scan,,Caprotti,https://imslp.org/wiki/Special:ImagefromIndex/154223,exclude,[[User:Caprotti|Caprotti]],"Ritournelle, Op.83 (Chaminade, Cécile)",https://imslp.org/wiki/Ritournelle%2C_Op.83_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:14Z,,8,,,,,IMSLP154229,,raw_file_block_missing,,,,needs_manual_review,,"Sur la plage (Chaminade, Cécile)",
2026-08-31T10:37:14Z,Public Domain,16,2011/11/21,Complete Score {{Vk|low|G}},PMLP281741-Chaminade_Melodies_4eme_volume_01_LAlleeDEmeraudeEtDOr.pdf,,IMSLP154240,"''Mélodies, Recueil 4'', No.1 (pp.1-4)<br>{{P|Enoch|Enoch & Cie.|Paris||1900||}}",not an original Normal Scan,,Morel,https://imslp.org/wiki/Special:ImagefromIndex/154240,exclude,[[User:Morel|Morel]],"L'allée d'émeraude et d'or (Chaminade, Cécile)",https://imslp.org/wiki/L%27all%C3%A9e_d%27%C3%A9meraude_et_d%27or_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:15Z,Public Domain,30,2011/11/21,Complete Score {{Vk|low|C}},PMLP281745-Chaminade_Melodies_4eme_volume_02_Alleluia.pdf,,IMSLP154241,"''Mélodies, Recueil 4'', No.2 (pp.5-8)<br>{{P|Enoch|Enoch & Cie.|Paris||1901||E. & C}}",not an original Normal Scan,,Morel,https://imslp.org/wiki/Special:ImagefromIndex/154241,exclude,[[User:Morel|Morel]],"Alleluia (Chaminade, Cécile)",https://imslp.org/wiki/Alleluia_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:15Z,Public Domain,10,2011/11/21,Complete Score {{Vk|low|C}},PMLP281748-Chaminade_Melodies_4eme_volume_03_AvrilSEveille.pdf,,IMSLP154242,"''Mélodies, Recueil 4'', No.3 (pp.9-12)<br>{{P|Enoch|Enoch & Cie.|Paris||1896||E. & C}}",not an original Normal Scan,,Morel,https://imslp.org/wiki/Special:ImagefromIndex/154242,exclude,[[User:Morel|Morel]],"Avril s'éveille (Chaminade, Cécile)",https://imslp.org/wiki/Avril_s%27%C3%A9veille_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:16Z,Public Domain,27,2011/11/21,Complete Score {{Vk|low|d}},PMLP281753-Chaminade_Melodies_4eme_volume_05_ChansonDeNeige.pdf,,IMSLP154245,"''Mélodies, Recueil 4'', No.5 (pp.17-20)<br>{{P|Enoch|Enoch & Cie.|Paris||1906||E. & C}}",not an original Normal Scan,,Morel,https://imslp.org/wiki/Special:ImagefromIndex/154245,exclude,[[User:Morel|Morel]],"Chanson de neige (Chaminade, Cécile)",https://imslp.org/wiki/Chanson_de_neige_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:16Z,Public Domain,24,2011/11/21,"Complete score (low voice, {{K|Eb}})",PMLP281824-Chaminade_Melodies_2eme_volume_09-ChansonEspagnole.pdf,,IMSLP154289,"{{LinkWorkN|Mélodies, Recueil 2||Chaminade|Cécile|0}}, No.9 (pp.36-40)<br>{{P|Enoch|Enoch & Cie.|Paris||1895||E. & C. 3163}}",not an original Normal Scan,,Morel,https://imslp.org/wiki/Special:ImagefromIndex/154289,exclude,[[User:Morel|Morel]],"Chanson espagnole (Chaminade, Cécile)",https://imslp.org/wiki/Chanson_espagnole_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:16Z,Public Domain,30,2011/11/21,Complete Score {{Vk|low|e}},PMLP281843-Chaminade_Melodies_3eme_volume_01_Amertume.pdf,,IMSLP154299,"{{LinkWork|Mélodies, Recueil 3||Chaminade|Cécile|0}}, No.1 (pp.1-5)<br>{{P|Enoch|Enoch & Cie.|Paris||1898||E. & C. 4098}}",not an original Normal Scan,,Morel,https://imslp.org/wiki/Special:ImagefromIndex/154299,exclude,[[User:Morel|Morel]],"Amertume (Chaminade, Cécile)",https://imslp.org/wiki/Amertume_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:16Z,Public Domain,6,2008/1/27,Complete Score,SchubertD651 Himmelsfunken.pdf,Normal Scan,IMSLP16259,{{FPSSongs|353|700|14-15|6|1895}},IMSLP exact-file record: Public Domain + Normal Scan,,uploader,https://imslp.org/wiki/Special:ImagefromIndex/16259,candidate_pd_scan,[[User:Aldona|Aldona Jones]],"Himmelsfunken, D.651 (Schubert, Franz)",https://imslp.org/wiki/Himmelsfunken%2C_D.651_%28Schubert%2C_Franz%29
2026-08-31T10:37:16Z,,12,,,,,IMSLP16349,,file_id_not_rendered_on_work_page,,,,needs_manual_review,,"1 Du liebst mich nicht (Schubert, Franz)",
2026-08-31T10:37:18Z,,8,,,,,IMSLP16364,,file_id_not_rendered_on_work_page,,,,needs_manual_review,,"3 Wandrers Nachtlied, D.768 (Schubert, Franz)",
2026-08-31T10:37:20Z,,24,,,,,IMSLP16369,,file_id_not_rendered_on_work_page,,,,needs_manual_review,,"1 Der Zwerg, D.771 (Schubert, Franz)",
2026-08-31T10:37:22Z,,5,,,,,IMSLP16400,,IMSLP work page not resolved,"6 Ellens Gesang III, D.839 (Ave Maria) (Schubert, Franz)",,,needs_manual_review,,"6 Ellens Gesang III, D.839 (Ave Maria) (Schubert, Franz)",
2026-08-31T10:37:24Z,,5,,,,,IMSLP16625,,file_id_not_rendered_on_work_page,,,,needs_manual_review,,"3 Bootgesang, D.835 (Schubert, Franz)",
2026-08-31T10:37:25Z,,22,,,,,IMSLP16883,,file_id_not_rendered_on_work_page,,,,needs_manual_review,,"Je te veux (Satie, Erik)",
2026-08-31T10:37:25Z,Public Domain,10,2008/5/11,Complete Score,Satie_-_Tendrement_(voice_and_piano).pdf,,IMSLP16890,"{{P|E. Baudoux|E. Baudoux & Cie.|Paris||1903||E.B. & Cie. 772}}<br>(Later [[Rouart, Lerolle & Cie.]])",not an original Normal Scan,,|Uploader=[[User:Daphnis|Daphnis]],https://imslp.org/wiki/Special:ImagefromIndex/16890,exclude,,"Tendrement (Satie, Erik)",https://imslp.org/wiki/Tendrement_%28Satie%2C_Erik%29
2026-08-31T10:37:25Z,Public Domain,15,2012/1/22,Complete Score,PMLP305644-Gail_Nocturne.pdf,,IMSLP173062,"''Échos de France,  Premier volume''<br>Paris: [[A. Durand & Fils]], n.d. Plate D. & F. 89",not an original Normal Scan,,University of Toronto,https://imslp.org/wiki/Special:ImagefromIndex/173062,exclude,[[User:Bassani|Bassani]],"Les langueurs (Gail, Sophie)",https://imslp.org/wiki/Les_langueurs_%28Gail%2C_Sophie%29
2026-08-31T10:37:25Z,Public Domain,33,2012/1/22,Complete Score,PMLP305646-Gail_Nocturne_a_2.pdf,,IMSLP173063,"''Échos de France,  Premier volume''<br>Paris: [[A. Durand & Fils]], n.d. Plate D. & F. 89",not an original Normal Scan,,University of Toronto,https://imslp.org/wiki/Special:ImagefromIndex/173063,exclude,[[User:Bassani|Bassani]],"Le serment (Gail, Sophie)",https://imslp.org/wiki/Le_serment_%28Gail%2C_Sophie%29
2026-08-31T10:37:25Z,Public Domain,28,2012/3/4,Complete Score,PMLP320330-Barnby_-_Beggar_Maid_Sibley.1802.19245.pdf,Normal Scan,IMSLP183800,"''Songs from the Published Writings of Alfred Tennyson.  Set to Music by Various Composers.''<br>New York: Harper & Brothers, 1880.",IMSLP exact-file record: Public Domain + Normal Scan,,{{SibleyScan|1802/19245}},https://imslp.org/wiki/Special:ImagefromIndex/183800,candidate_pd_scan,[[User:Massenetique|Massenetique]],"The Beggar Maid (Barnby, Joseph)",https://imslp.org/wiki/The_Beggar_Maid_%28Barnby%2C_Joseph%29
2026-08-31T10:37:25Z,,42,,,,,IMSLP184203,,IMSLP work page not resolved,"Ask Me No More (Marshall, Florence Ashton)",,,needs_manual_review,,"Ask Me No More (Marshall, Florence Ashton)",
2026-08-31T10:37:26Z,,26,,,,,IMSLP184205,,IMSLP work page not resolved,"1 The Poet‘s Song (Parry, Hubert)",,,needs_manual_review,,"1 The Poet‘s Song (Parry, Hubert)",
2026-08-31T10:37:27Z,Public Domain,21,2012/3/9,Complete Score,SIBLEY1802.9069.3608-39087012076974score.pdf,Normal Scan,IMSLP185782,{{P|Winthrop Rogers||London||1916||M.68}},IMSLP exact-file record: Public Domain + Normal Scan,,{{SibleyScan|1802/9069}},https://imslp.org/wiki/Special:ImagefromIndex/185782,candidate_pd_scan,[[User:Icactus|Icactus]],"The Violets Blue, H.69 (Bridge, Frank)",https://imslp.org/wiki/The_Violets_Blue%2C_H.69_%28Bridge%2C_Frank%29
2026-08-31T10:37:27Z,,32,,,,,IMSLP19490,,file_id_not_rendered_on_work_page,,,,needs_manual_review,,"5 Madrid, VWV 1136 (Viardot, Pauline)",
2026-08-31T10:37:29Z,Public Domain,10,2012/4/15,Complete Score,PMLP345163-HopekirkMyLadyofSleep413.pdf,,IMSLP204253,"New York: J.O. von Prochaźka, Elite Edition 413, 1885.",not an original Normal Scan,,{{LOC||music/sm1885.25464|0}},https://imslp.org/wiki/Special:ImagefromIndex/204253,exclude,[[User:Schissel|Schissel]],"My Lady of Sleep (Hopekirk, Helen)",https://imslp.org/wiki/My_Lady_of_Sleep_%28Hopekirk%2C_Helen%29
2026-08-31T10:37:29Z,,10,,,,,IMSLP212406,,file_id_not_rendered_on_work_page,,,,needs_manual_review,,"’Tis but a Week, H.146 (Bridge, Frank)",
2026-08-31T10:37:38Z,,2,,,,,IMSLP22647,,raw_file_block_missing,,,,needs_manual_review,,"Villanelle des petits canards (Chabrier, Emmanuel)",
2026-08-31T10:37:38Z,,4,,,,,IMSLP227283,,IMSLP work page not resolved,"5 Scheideblick (Lang, Josephine)",,,needs_manual_review,,"5 Scheideblick (Lang, Josephine)",
2026-08-31T10:37:39Z,Public Domain,8,2012/6/10,Complete Score,SIBLEY1802.18772.1ec1-39087012076958score.pdf,,IMSLP231920,{{P|Boosey & Hawkes||London||1916||2735}},not an original Normal Scan,,{{SibleyScan|1802/18772}},https://imslp.org/wiki/Special:ImagefromIndex/231920,exclude,[[User:Afp0815|Afp0815]],"So Perverse, H.61 (Bridge, Frank)",https://imslp.org/wiki/So_Perverse%2C_H.61_%28Bridge%2C_Frank%29
2026-08-31T10:37:39Z,,19,,,,,IMSLP234590,,IMSLP work page not resolved,"3 Spring, the Sweet Spring (Delius, Frederick)",,,needs_manual_review,,"3 Spring, the Sweet Spring (Delius, Frederick)",
2026-08-31T10:37:41Z,Public Domain,10,2012/6/23,"Complete Score (medium voice, in {{k|F}})",PMLP384375-HorrocksBirdandRosenlamus-an21288672-p.pdf,,IMSLP237206,"London: [[Boosey & Hawkes|Boosey & Co.]], n.d.(1890s?). Plate H.1293.",not an original Normal Scan,,{{NLA|an21288672}},https://imslp.org/wiki/Special:ImagefromIndex/237206,exclude,[[User:Schissel|Schissel]],"The Bird and the Rose (Horrocks, Amy Elsie)",https://imslp.org/wiki/The_Bird_and_the_Rose_%28Horrocks%2C_Amy_Elsie%29
2026-08-31T10:37:41Z,,18,,,,,IMSLP24047,,file_id_not_rendered_on_work_page,,,,needs_manual_review,,"1 Après un rêve (Fauré, Gabriel)",
2026-08-31T10:37:43Z,,15,,,,,IMSLP24051,,IMSLP work page not resolved,"3 Barcarolle (Fauré, Gabriel)",,,needs_manual_review,,"3 Barcarolle (Fauré, Gabriel)",
2026-08-31T10:37:43Z,Public Domain,8,2012/7/22,Complete Score,PMLP394399-GrandvalSacri.pdf,,IMSLP243472,"[[Album_du_Gaulois_(Various)|''Album du Gaulois'']]<br>Paris: Le Gaulois, 1885. Plate G. 1.",not an original Normal Scan,,Coulonnus,https://imslp.org/wiki/Special:ImagefromIndex/243472,exclude,[[User:Coulonnus|Coulonnus]],"Sacrifice (Grandval, Clémence de)",https://imslp.org/wiki/Sacrifice_%28Grandval%2C_Cl%C3%A9mence_de%29
2026-08-31T10:37:43Z,Public Domain,8,2012/10/1,Complete Score,PMLP410074-BrowneReplyMessengerBird.pdf,,IMSLP253076,"Philadelphia: A. Fiot, 1848.",not an original Normal Scan,,{{LOC||music/sm1848.450330|0}},https://imslp.org/wiki/Special:ImagefromIndex/253076,exclude,[[User:Schissel|Schissel]],"The Reply of the Messenger Bird (Browne, Augusta)",https://imslp.org/wiki/The_Reply_of_the_Messenger_Bird_%28Browne%2C_Augusta%29
2026-08-31T10:37:43Z,Creative Commons Attribution-ShareAlike 4.0,28,2024/1/22,Complete Score,PMLP417372-Nobody_Knows_de_Trouble_I-ve_Seen.brf,Typeset,IMSLP257340,"Hu Haipeng, 2021.",file record is not explicitly Public Domain,,editor,https://imslp.org/wiki/Special:ImagefromIndex/257340,exclude,[[User:Feduol|Feduol]],"Nobody Knows de Trouble I've Seen (Burleigh, Harry Thacker)",https://imslp.org/wiki/Nobody_Knows_de_Trouble_I%27ve_Seen_%28Burleigh%2C_Harry_Thacker%29
2026-08-31T10:37:46Z,Public Domain,6,2012/12/18,Complete Score (D major),PMLP425673-Holmes_-_Chanson_de_Jean_Prouvaire_DMaj_MVPf.pdf,,IMSLP262465,"Paris: [[Alphonse Leduc]], n.d.(ca.1871).  Plate A.L.4368.",not an original Normal Scan,,{{BDH}},https://imslp.org/wiki/Special:ImagefromIndex/262465,exclude,[[User:Massenetique|Massenetique]],"La chanson de Jean Prouvaire (Holmès, Augusta Mary Anne)",https://imslp.org/wiki/La_chanson_de_Jean_Prouvaire_%28Holm%C3%A8s%2C_Augusta_Mary_Anne%29
2026-08-31T10:37:46Z,,22,,,,,IMSLP280033,,IMSLP work page not resolved,"1 Ich sagte nicht (Beach, Amy)",,,needs_manual_review,,"1 Ich sagte nicht (Beach, Amy)",
2026-08-31T10:37:47Z,,24,,,,,IMSLP282760,,IMSLP work page not resolved,"Go down, Moses (Burleigh, Harry Thacker)",,,needs_manual_review,,"Go down, Moses (Burleigh, Harry Thacker)",
2026-08-31T10:37:48Z,Public Domain,24,2013/6/19,Complete Score,SIBLEY1802.15817.dfa2-39087014367694bouton.pdf,Normal Scan,IMSLP285344,"New York: [[Boosey & Co.]], 1899. Plate H. 2678.",IMSLP exact-file record: Public Domain + Normal Scan,,{{SibleyScan|1802/15817}},https://imslp.org/wiki/Special:ImagefromIndex/285344,candidate_pd_scan,[[User:Yoder|Yoder]],"Bouton de Rose (Lehmann, Amelia)",https://imslp.org/wiki/Bouton_de_Rose_%28Lehmann%2C_Amelia%29
